country_code,country_name,year,value
Ci sono alcuni valori che sono mancanti, e sono indicati con 9999!
ABW,Aruba,1960,9999
ABW,Aruba,1961,64.537
ABW,Aruba,1962,64.752
ABW,Aruba,1963,65.132
ABW,Aruba,1964,65.294
ABW,Aruba,1965,65.502
ABW,Aruba,1966,66.063
ABW,Aruba,1967,66.439
ABW,Aruba,1968,66.757
ABW,Aruba,1969,67.168
ABW,Aruba,1970,67.583
ABW,Aruba,1971,67.975
ABW,Aruba,1972,68.577
ABW,Aruba,1973,69.092
ABW,Aruba,1974,69.503
ABW,Aruba,1975,69.762
ABW,Aruba,1976,70.035
ABW,Aruba,1977,70.264
ABW,Aruba,1978,70.494
ABW,Aruba,1979,70.778
ABW,Aruba,1980,71.066
ABW,Aruba,1981,71.722
ABW,Aruba,1982,71.959
ABW,Aruba,1983,72.105
ABW,Aruba,1984,72.251
ABW,Aruba,1985,72.388
ABW,Aruba,1986,72.462
ABW,Aruba,1987,72.789
ABW,Aruba,1988,73.047
ABW,Aruba,1989,73.023
ABW,Aruba,1990,73.076
ABW,Aruba,1991,73.1
ABW,Aruba,1992,73.179
ABW,Aruba,1993,73.225
ABW,Aruba,1994,73.272
ABW,Aruba,1995,73.349
ABW,Aruba,1996,73.448
ABW,Aruba,1997,73.452
ABW,Aruba,1998,73.491
ABW,Aruba,1999,73.561
ABW,Aruba,2000,73.569
ABW,Aruba,2001,73.647
ABW,Aruba,2002,73.726
ABW,Aruba,2003,73.752
ABW,Aruba,2004,73.576
ABW,Aruba,2005,73.811
ABW,Aruba,2006,74.026
ABW,Aruba,2007,74.21
ABW,Aruba,2008,74.147
ABW,Aruba,2009,74.56
ABW,Aruba,2010,75.404
ABW,Aruba,2011,75.465
ABW,Aruba,2012,75.531
ABW,Aruba,2013,75.636
ABW,Aruba,2014,75.601
ABW,Aruba,2015,75.683
ABW,Aruba,2016,75.617
ABW,Aruba,2017,75.903
ABW,Aruba,2018,76.072
ABW,Aruba,2019,76.248
ABW,Aruba,2020,75.723
AFE,Africa Eastern and Southern,1960,44.0855518454965
AFE,Africa Eastern and Southern,1961,44.386696928982
AFE,Africa Eastern and Southern,1962,44.7521818697994
AFE,Africa Eastern and Southern,1963,44.9131593023895
AFE,Africa Eastern and Southern,1964,45.4790430350926
AFE,Africa Eastern and Southern,1965,45.4983377851245
AFE,Africa Eastern and Southern,1966,45.249104629175
AFE,Africa Eastern and Southern,1967,45.9249050028634
AFE,Africa Eastern and Southern,1968,46.2230965735857
AFE,Africa Eastern and Southern,1969,46.4323030920124
AFE,Africa Eastern and Southern,1970,46.7184845197579
AFE,Africa Eastern and Southern,1971,47.1929422628056
AFE,Africa Eastern and Southern,1972,46.8973892484582
AFE,Africa Eastern and Southern,1973,47.6923174333564
AFE,Africa Eastern and Southern,1974,47.5980637543936
AFE,Africa Eastern and Southern,1975,47.7598869102852
AFE,Africa Eastern and Southern,1976,48.3495880515137
AFE,Africa Eastern and Southern,1977,48.6359051941044
AFE,Africa Eastern and Southern,1978,48.7636045995518
AFE,Africa Eastern and Southern,1979,49.261335737194
AFE,Africa Eastern and Southern,1980,49.6365376633939
AFE,Africa Eastern and Southern,1981,50.0570732913929
AFE,Africa Eastern and Southern,1982,50.2968491379812
AFE,Africa Eastern and Southern,1983,48.7033305923076
AFE,Africa Eastern and Southern,1984,48.6526645552392
AFE,Africa Eastern and Southern,1985,49.0116307202704
AFE,Africa Eastern and Southern,1986,49.6397190079537
AFE,Africa Eastern and Southern,1987,50.0758875408274
AFE,Africa Eastern and Southern,1988,49.3597265265243
AFE,Africa Eastern and Southern,1989,50.6840997852884
AFE,Africa Eastern and Southern,1990,50.6077275337211
AFE,Africa Eastern and Southern,1991,50.3904596093263
AFE,Africa Eastern and Southern,1992,49.9621136475362
AFE,Africa Eastern and Southern,1993,50.2736279712378
AFE,Africa Eastern and Southern,1994,50.882581820857
AFE,Africa Eastern and Southern,1995,51.0019252899341
AFE,Africa Eastern and Southern,1996,50.8106889705148
AFE,Africa Eastern and Southern,1997,50.9742313589474
AFE,Africa Eastern and Southern,1998,50.3259127442221
AFE,Africa Eastern and Southern,1999,9999
AFE,Africa Eastern and Southern,2000,51.9644813247726
AFE,Africa Eastern and Southern,2001,52.189648214333
AFE,Africa Eastern and Southern,2002,52.540794004192
AFE,Africa Eastern and Southern,2003,53.0220345898659
AFE,Africa Eastern and Southern,2004,53.5454571098034
